homeTileId,workTileId,rows,workers
NEC_CM01_RM01,NEC_CM01_RM01,1341603,1453035
NEC_CM01_RM01,NEC_CM01_RM02,29180,29656
NEC_CM01_RM01,NEC_CM01_RM03,248,248
NEC_CM01_RM01,NEC_CM01_RP00,87033,91405
NEC_CM01_RM01,NEC_CM01_RP01,324,324
NEC_CM01_RM01,NEC_CM02_RM01,197929,202456
NEC_CM01_RM01,NEC_CM02_RM02,2802,2832
NEC_CM01_RM01,NEC_CM02_RM03,303,303
NEC_CM01_RM01,NEC_CM02_RP00,22482,22594
NEC_CM01_RM01,NEC_CM02_RP01,2295,2297
NEC_CM01_RM01,NEC_CM03_RM01,19085,19117
NEC_CM01_RM01,NEC_CM03_RM02,5055,5055
NEC_CM01_RM01,NEC_CM03_RM03,124,124
NEC_CM01_RM01,NEC_CM03_RP00,2573,2575
NEC_CM01_RM01,NEC_CM04_RM01,1966,1969
NEC_CM01_RM01,NEC_CM04_RM02,2705,2709
NEC_CM01_RM01,NEC_CM04_RM03,213,213
NEC_CM01_RM01,NEC_CP00_RM01,46917,47470
NEC_CM01_RM01,NEC_CP00_RP00,143218,145560
NEC_CM01_RM01,NEC_CP00_RP01,648,648
NEC_CM01_RM01,NEC_CP00_RP02,583,584
NEC_CM01_RM01,NEC_CP01_RP00,2462,2463
NEC_CM01_RM01,NEC_CP01_RP01,950,950
NEC_CM01_RM01,NEC_CP01_RP02,171,172
NEC_CM01_RM01,NEC_CP02_RP00,125,125
NEC_CM01_RM01,NEC_CP02_RP01,252,252
NEC_CM01_RM01,NEC_CP02_RP02,142,142
NEC_CM01_RM01,NEC_CP02_RP03,42,42
NEC_CM01_RM01,NEC_CP03_RP01,336,336
NEC_CM01_RM01,NEC_CP03_RP02,1600,1604
NEC_CM01_RM01,NEC_CP03_RP03,41,41
NEC_CM01_RM01,NEC_CP04_RP00,4,4
NEC_CM01_RM01,NEC_CP04_RP01,42,42
NEC_CM01_RM01,NEC_CP04_RP03,38,38
NEC_CM01_RM02,NEC_CM01_RM01,41816,43241
NEC_CM01_RM02,NEC_CM01_RM02,122541,142102
