homeTileId,workTileId,odRows,workers
NY_CM01_RP00,NY_CM01_RP00,1052,1224
NY_CM01_RP00,NY_CM01_RP01,1707,1862
NY_CM01_RP00,NY_CM01_RP02,27,27
NY_CM01_RP00,NY_CM01_RP03,4,4
NY_CM01_RP00,NY_CM01_RP04,2,2
NY_CM01_RP00,NY_CM01_RP05,8,8
NY_CM01_RP00,NY_CM02_RP01,41,41
NY_CM01_RP00,NY_CM02_RP02,73,73
NY_CM01_RP00,NY_CM02_RP03,18,18
NY_CM01_RP00,NY_CM02_RP04,4,4
NY_CM01_RP00,NY_CM03_RP01,12,12
NY_CM01_RP00,NY_CM03_RP02,25,25
NY_CM01_RP00,NY_CM03_RP03,6,6
NY_CM01_RP00,NY_CM04_RP02,23,23
NY_CM01_RP00,NY_CM04_RP03,27,27
NY_CM01_RP00,NY_CM05_RP01,3,3
NY_CM01_RP00,NY_CM05_RP02,30,30
NY_CM01_RP00,NY_CM05_RP03,5,5
NY_CM01_RP00,NY_CM06_RP01,1,1
NY_CM01_RP00,NY_CP00_RP00,4178,4292
NY_CM01_RP00,NY_CP00_RP01,1312,1343
NY_CM01_RP00,NY_CP00_RP02,239,241
NY_CM01_RP00,NY_CP00_RP03,12,12
NY_CM01_RP00,NY_CP00_RP04,12,12
NY_CM01_RP00,NY_CP00_RP05,1,1
NY_CM01_RP00,NY_CP01_RP00,110,110
NY_CM01_RP00,NY_CP01_RP02,1,1
NY_CM01_RP00,NY_CP02_RP00,3,3
NY_CM01_RP01,NY_CM01_RP00,1642,1883
NY_CM01_RP01,NY_CM01_RP01,26382,30159
NY_CM01_RP01,NY_CM01_RP02,1517,1618
NY_CM01_RP01,NY_CM01_RP03,60,60
NY_CM01_RP01,NY_CM01_RP04,32,32
NY_CM01_RP01,NY_CM01_RP05,53,53
NY_CM01_RP01,NY_CM02_RP01,726,748
NY_CM01_RP01,NY_CM02_RP02,988,1013
NY_CM01_RP01,NY_CM02_RP03,213,213
NY_CM01_RP01,NY_CM02_RP04,29,29
NY_CM01_RP01,NY_CM03_RP01,114,114
NY_CM01_RP01,NY_CM03_RP02,215,215
NY_CM01_RP01,NY_CM03_RP03,78,78
NY_CM01_RP01,NY_CM04_RP01,5,5
NY_CM01_RP01,NY_CM04_RP02,236,237
NY_CM01_RP01,NY_CM04_RP03,246,246
NY_CM01_RP01,NY_CM05_RP01,21,21
NY_CM01_RP01,NY_CM05_RP02,322,323
NY_CM01_RP01,NY_CM05_RP03,51,51
NY_CM01_RP01,NY_CM06_RP01,8,8
NY_CM01_RP01,NY_CM06_RP02,21,21
NY_CM01_RP01,NY_CP00_RP00,18667,18914
NY_CM01_RP01,NY_CP00_RP01,11058,11534
NY_CM01_RP01,NY_CP00_RP02,2859,2888
NY_CM01_RP01,NY_CP00_RP03,144,144
NY_CM01_RP01,NY_CP00_RP04,142,142
NY_CM01_RP01,NY_CP00_RP05,5,5
NY_CM01_RP01,NY_CP01_RP00,922,922
NY_CM01_RP01,NY_CP01_RP02,7,7
NY_CM01_RP01,NY_CP01_RP03,6,6
NY_CM01_RP01,NY_CP02_RP00,24,24
NY_CM01_RP02,NY_CM01_RP00,23,23
NY_CM01_RP02,NY_CM01_RP01,1497,1543
NY_CM01_RP02,NY_CM01_RP02,46876,52344
NY_CM01_RP02,NY_CM01_RP03,1962,2047
NY_CM01_RP02,NY_CM01_RP04,143,143
NY_CM01_RP02,NY_CM01_RP05,80,82
NY_CM01_RP02,NY_CM02_RP01,1304,1316
NY_CM01_RP02,NY_CM02_RP02,11812,12887
NY_CM01_RP02,NY_CM02_RP03,4545,4780
NY_CM01_RP02,NY_CM02_RP04,171,171
NY_CM01_RP02,NY_CM03_RP01,216,218
NY_CM01_RP02,NY_CM03_RP02,693,694
NY_CM01_RP02,NY_CM03_RP03,310,310
NY_CM01_RP02,NY_CM03_RP04,5,5
NY_CM01_RP02,NY_CM04_RP01,11,11
NY_CM01_RP02,NY_CM04_RP02,509,509
