region,origin_prefecture_code,origin_prefecture_name,destination_prefecture_code,destination_prefecture_name,foreign_visitor_legs_per_year,calendar_day_average_visitor_legs,year,source,scope,comparison_status
tokyo,11,Saitama,12,Chiba,22269,60.844262,2024,MLIT FF-Data 2024,inbound foreign visitors; domestic-visit-to-domestic-visit inter-prefecture legs,not_combined_with_resident_pt_weekday_baseline
tokyo,11,Saitama,13,Tokyo,112285,306.789617,2024,MLIT FF-Data 2024,inbound foreign visitors; domestic-visit-to-domestic-visit inter-prefecture legs,not_combined_with_resident_pt_weekday_baseline
tokyo,11,Saitama,14,Kanagawa,31056,84.852459,2024,MLIT FF-Data 2024,inbound foreign visitors; domestic-visit-to-domestic-visit inter-prefecture legs,not_combined_with_resident_pt_weekday_baseline
tokyo,12,Chiba,11,Saitama,18060,49.344262,2024,MLIT FF-Data 2024,inbound foreign visitors; domestic-visit-to-domestic-visit inter-prefecture legs,not_combined_with_resident_pt_weekday_baseline
tokyo,12,Chiba,13,Tokyo,585306,1599.196721,2024,MLIT FF-Data 2024,inbound foreign visitors; domestic-visit-to-domestic-visit inter-prefecture legs,not_combined_with_resident_pt_weekday_baseline
tokyo,12,Chiba,14,Kanagawa,129818,354.693989,2024,MLIT FF-Data 2024,inbound foreign visitors; domestic-visit-to-domestic-visit inter-prefecture legs,not_combined_with_resident_pt_weekday_baseline
tokyo,13,Tokyo,11,Saitama,136364,372.579235,2024,MLIT FF-Data 2024,inbound foreign visitors; domestic-visit-to-domestic-visit inter-prefecture legs,not_combined_with_resident_pt_weekday_baseline
tokyo,13,Tokyo,12,Chiba,1444248,3946.032787,2024,MLIT FF-Data 2024,inbound foreign visitors; domestic-visit-to-domestic-visit inter-prefecture legs,not_combined_with_resident_pt_weekday_baseline
tokyo,13,Tokyo,14,Kanagawa,1630892,4455.989071,2024,MLIT FF-Data 2024,inbound foreign visitors; domestic-visit-to-domestic-visit inter-prefecture legs,not_combined_with_resident_pt_weekday_baseline
tokyo,14,Kanagawa,11,Saitama,34476,94.196721,2024,MLIT FF-Data 2024,inbound foreign visitors; domestic-visit-to-domestic-visit inter-prefecture legs,not_combined_with_resident_pt_weekday_baseline
tokyo,14,Kanagawa,12,Chiba,168562,460.551913,2024,MLIT FF-Data 2024,inbound foreign visitors; domestic-visit-to-domestic-visit inter-prefecture legs,not_combined_with_resident_pt_weekday_baseline
tokyo,14,Kanagawa,13,Tokyo,835365,2282.418033,2024,MLIT FF-Data 2024,inbound foreign visitors; domestic-visit-to-domestic-visit inter-prefecture legs,not_combined_with_resident_pt_weekday_baseline
chukyo,21,Gifu,23,Aichi,247143,675.254098,2024,MLIT FF-Data 2024,inbound foreign visitors; domestic-visit-to-domestic-visit inter-prefecture legs,not_combined_with_resident_pt_weekday_baseline
chukyo,21,Gifu,24,Mie,29422,80.387978,2024,MLIT FF-Data 2024,inbound foreign visitors; domestic-visit-to-domestic-visit inter-prefecture legs,not_combined_with_resident_pt_weekday_baseline
chukyo,23,Aichi,21,Gifu,311201,850.275956,2024,MLIT FF-Data 2024,inbound foreign visitors; domestic-visit-to-domestic-visit inter-prefecture legs,not_combined_with_resident_pt_weekday_baseline
chukyo,23,Aichi,24,Mie,96686,264.169399,2024,MLIT FF-Data 2024,inbound foreign visitors; domestic-visit-to-domestic-visit inter-prefecture legs,not_combined_with_resident_pt_weekday_baseline
chukyo,24,Mie,21,Gifu,13310,36.366120,2024,MLIT FF-Data 2024,inbound foreign visitors; domestic-visit-to-domestic-visit inter-prefecture legs,not_combined_with_resident_pt_weekday_baseline
chukyo,24,Mie,23,Aichi,52608,143.737705,2024,MLIT FF-Data 2024,inbound foreign visitors; domestic-visit-to-domestic-visit inter-prefecture legs,not_combined_with_resident_pt_weekday_baseline
kinki,26,Kyoto,27,Osaka,3006189,8213.631148,2024,MLIT FF-Data 2024,inbound foreign visitors; domestic-visit-to-domestic-visit inter-prefecture legs,not_combined_with_resident_pt_weekday_baseline
kinki,26,Kyoto,28,Hyogo,507881,1387.653005,2024,MLIT FF-Data 2024,inbound foreign visitors; domestic-visit-to-domestic-visit inter-prefecture legs,not_combined_with_resident_pt_weekday_baseline
kinki,26,Kyoto,29,Nara,1582822,4324.650273,2024,MLIT FF-Data 2024,inbound foreign visitors; domestic-visit-to-domestic-visit inter-prefecture legs,not_combined_with_resident_pt_weekday_baseline
kinki,27,Osaka,26,Kyoto,4648700,12701.366120,2024,MLIT FF-Data 2024,inbound foreign visitors; domestic-visit-to-domestic-visit inter-prefecture legs,not_combined_with_resident_pt_weekday_baseline
kinki,27,Osaka,28,Hyogo,528913,1445.117486,2024,MLIT FF-Data 2024,inbound foreign visitors; domestic-visit-to-domestic-visit inter-prefecture legs,not_combined_with_resident_pt_weekday_baseline
kinki,27,Osaka,29,Nara,970032,2650.360656,2024,MLIT FF-Data 2024,inbound foreign visitors; domestic-visit-to-domestic-visit inter-prefecture legs,not_combined_with_resident_pt_weekday_baseline
kinki,28,Hyogo,26,Kyoto,256856,701.792350,2024,MLIT FF-Data 2024,inbound foreign visitors; domestic-visit-to-domestic-visit inter-prefecture legs,not_combined_with_resident_pt_weekday_baseline
kinki,28,Hyogo,27,Osaka,369958,1010.814208,2024,MLIT FF-Data 2024,inbound foreign visitors; domestic-visit-to-domestic-visit inter-prefecture legs,not_combined_with_resident_pt_weekday_baseline
kinki,28,Hyogo,29,Nara,139906,382.256831,2024,MLIT FF-Data 2024,inbound foreign visitors; domestic-visit-to-domestic-visit inter-prefecture legs,not_combined_with_resident_pt_weekday_baseline
kinki,29,Nara,26,Kyoto,375020,1024.644809,2024,MLIT FF-Data 2024,inbound foreign visitors; domestic-visit-to-domestic-visit inter-prefecture legs,not_combined_with_resident_pt_weekday_baseline
kinki,29,Nara,27,Osaka,527431,1441.068306,2024,MLIT FF-Data 2024,inbound foreign visitors; domestic-visit-to-domestic-visit inter-prefecture legs,not_combined_with_resident_pt_weekday_baseline
kinki,29,Nara,28,Hyogo,279129,762.647541,2024,MLIT FF-Data 2024,inbound foreign visitors; domestic-visit-to-domestic-visit inter-prefecture legs,not_combined_with_resident_pt_weekday_baseline
